X,Y,OBJECTID,PARCELID,PROPERTY_UNIT,WARDID,PLANNINGCOMMUNITYID,NEIGHBOURHOOD_ASSOCIATIONID,ADDRESS,APPLICATION_NO,STATUS,APPLICANT,PROPERTY_OWNER,FOLDERRSN,FOLDERYEAR,FOLDERNAME,FOLDERTYPE,SUBTYPE,PRIMARY_PROPERTY,ISSUED_BY,DESCRIPTION,COMBINED_APPLICATION,INDATE,PUBLIC_STATUS_UPDATE,PSI_MTG_DATE,DSD_MTG_DATE,NHBD_MTG_DATE,NHBD_SA_MTG_DATE,COUNCIL_MEETING_DATE,DRAFT_APPROVAL_DATE,REGIONAL_APPROVAL_DATE,REMOVAL_DATE,FINAL_DATE,HIGHLIGHT_APP,EXISTING_OPA_LANDUSE,PROPOSED_OPA_LANDUSE,EXISTING_ZONING,PROPOSED_ZONING,EXISTING_LANDUSE,PROPOSED_LANDUSE,PROP_MAX_RES_UNITS_INCIR,PROP_MAX_RES_UNITS_DA,PROPOSED_COMMERCIAL_HA,PROPOSED_INSTITUTIONAL_HA,PROPOSED_PARKLAND_HA,PROP_SIZE_HA,CONTACT_EMAIL,CONTACT_PHONE,CONTACT_TTY,PUBLIC_STATUS_DESC,AMANDA_STATUS_DESC,IMAGE_DESCR,IMAGE_LINK,THUMBNAIL_LINK,SORTID,GlobalID
540298.7549,4810843.0577,40,50006661,1017923,9,8,7731,130  VICTORIA ST S,ZBA22/006/V/KA,Passed,IBI GROUP,1936026 ONTARIO INC,648053,22,130-142 VICTORIA ST S,Zoning By-Law Amendment,Combined,1017923,"Katie Anderl, MCIP, RPP","The applicant is proposing to add Special Regulations to the existing MU-1 zoning to permit the lands to be developed with a 25 storey mixed use building which includes 249 dwelling units and 4 retail units on the ground floor.  The requested amendment proposes an FSR of 12.73, a height of about 86 m, reductions to setbacks and reduced parking.  (C/R OPA22/004/V/KA)",OPA22/004/V/KA,2022/03/01 00:00:00+00,This file is now closed.,09/18/2023,,07/18/2022,,09/25/2023,,,,,No,Mixed Use,,"MU-1, 1R, 525R, 401U",,residential and commercial,mixed use,,,,,,,Katie.Anderl@kitchener.ca,519-741-2426,1-866-969-9994,Passed,Passed,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_648053.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_648053.pdf,f54c1f34-91b3-4316-9b43-c2e38c30b04f
540942.9001,4805391.2001,41,50039164,1022855,5,54,7926,1295  BLEAMS RD,ZC17/003/F/AP,Passed,ZELINKA PRIAMO LTD,WAM FISCHER HALLMAN GP INC,466429,17,1250 FISCHER HALLMAN RD,Zoning By-Law Amendment,Standard,1073608,"Andrew Pinnell, MCIP, RPP","Approved by Local Planning Appeal Tribunal in March 2020 to change the zoning from Business Park Zoning to Medium Intensity Mixed Use Corridor Zoning to allow development of the lands with commercial, high density residential and mixed use buildings.",No,2017/03/22 00:00:00+00,,09/10/2018,,,,09/10/2018,,,,,No,,,B-2 and B-3 with various site-specific provisions,,Business Park,Mixed Use,,,,,,,Andrew.Pinnell@kitchener.ca,519-741-2426,1-866-969-9994,Passed,Passed,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_466429.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_466429.pdf,e5a90af0-f6f8-49fb-beb3-4bfd17d7e8e7
542847.5406,4810177.8316,42,50025632,1009750,10,3,7905,20  OTTAWA ST N,ZBA21/018/O/CD,Passed,MHBC PLANNING,20 OTTAWA GP INC,639837,21,20 OTTAWA ST N,Zoning By-Law Amendment,Combined,1009750,"Craig Dumart, MCIP, RPP","The subject property is currently zoned Neighbourhood Shopping Centre (C-2) with special use provision 2U in Zoning By-law 85-1. The proposed amendment is to change the current C-2 zone to the Commercial Residential Four Zone (CR-4) to permit dwelling units as well as a variety of commercial uses. 

The proposed development includes demolition of the existing buildings and redevelopment of the subject property with a mixed-use residential and commercial development. The proposal includes three buildings - two buildings identified are proposed to be six storeys in height with 68 dwelling units each. A third mixed-use 26 storey building is proposed to have a total of 328 units. ",OPA21/012/O/CD,2021/11/29 00:00:00+00,"The Planning & Strategic Initiatives Committee recommended approval of the Zoning By-law Amendment and Official Plan Amendment on Monday, May 16, 2022. This application is scheduled on the Kitchener City Council agenda on June 20, 2022. If you have any questions on this application, please reach out to the File Planner (City Planning Contact listed below).  If you would like to speak to this item, please register at www.kitchener.ca/delegation. If a person or public body does not make oral submissions at a public meeting or make written submissions to the City prior to the approval of a development, a Tribunal may dismiss an appeal made in relation to the applications. If you have any questions or require further clarification regarding appeals, please see https://olt.gov.on.ca/ or connect with the listed City Planning Contact.",05/16/2022,,02/24/2022,,,,,,,No,,,C-2,,commercial,mixed use,,,,,,,Craig.Dumart@kitchener.ca,519-741-2426,1-866-969-9994,Passed,Passed,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_639837.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_639837.pdf,762a81c6-521a-4d6e-95fa-11b5c95d573c
546330.407,4806990.8637,43,50041126,1074068,3,36,0,1018  HIDDEN VALLEY RD,OPA23/006/H/BB,Adopted,MHBC,EVAYA DEVELOPMENTS INC,682182,23,1018 HIDDEN VALLEY RD,Official Plan Amendment,Combined,1074068,"Brian Bateman, MCIP, RPP",To permit a proposal for a 26 unit single detached vacant land condominium development. C/R ZBA23/010/H/BB & 30CDM23/23204.,yes,2023/05/05 00:00:00+00,The notice of adoption of the OPA is attached below.  It is now with the Region of Waterloo to approve.,02/26/2024,,06/21/2023,,03/18/2024,,,,,No,,,,,vacant,Large lot residential,,,,,,,Brian.Bateman@kitchener.ca,519-741-2426,1-866-969-9994,Adopted,Adopted,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_682182.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_682182.pdf,286e8c72-434e-4f8d-9e83-33dbb770e0c3
541065.8134,4811101.3524,44,50000107,1053892,11,1,7905,200  KING ST W,ZBA23/029/K/JZ,Closed,CITY OF KITCHENER,CITY OF KITCHENER,690264,23,200 KING ST W,Zoning By-Law Amendment,Combined,1053892,John Zunic,ZBA to implement OPA23/017/K/JZ - City initiated ZBA for lands outside of the Growing Together project geographical area.,,2023/08/15 00:00:00+00,,01/29/2024,,,,03/18/2024,,,20250807,2024/08/07 00:00:00+00,No,,,,,,,,,,,,,John.Zunic@kitchener.ca,519-741-2426,1-866-969-9994,Closed,Closed,Status:This application has received final approval and is closed,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusApproved.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_690264.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_No_Documents.pdf,1a2d322f-3a9e-4cc5-8600-d38e07f95019
541167.1036,4810337.1885,45,50023492,1000262,9,5,7750,45  COURTLAND AVE E,OPA22/010/C/BB,Recommendation,MHBC PLANNING,CANTIRO COURTLAND GENERAL PARTNER LTD,660005,22,45-53 COURTLAND AVE E,Official Plan Amendment,Combined,1000262,"Brian Bateman, MCIP, RPP",The requested amendment proposes to add a special policy area for the subject lands to permit an increase in Floor Space Ratio (FSR) and building height. The current FSR is 1.0 for 43 and 49 Courtland and 1.5 for 53 Courtland Avenue. The OPA is requesting that the subject lands be permitted a maximum Floor Space Ratio of 2.4 for the entirety of the subject lands and a building height of 6 storeys. ,ZBA,2022/07/28 00:00:00+00,"The Zoning By-law was approved by Council and no appeals were received.  OPA 125  has been approved by the Region without any appeals.  Therefore, the Zoning is now in effect.",03/06/2023,,11/14/2022,,03/20/2023,,07/12/2023,,,No,,,,,,,,,,,,,Brian.Bateman@kitchener.ca,519-741-2426,1-866-969-9994,Recommendation,Recommendation,Status is Step 3:Staff consolidating feedback and preparing recommendation,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep3.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_660005.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_660005.pdf,2600138b-9feb-4d8d-90cc-6adbf140f434
541398.6286,4811208.5613,46,50000288,1060949,10,2,7729,22  WEBER ST W,OPA20/005/W/JVW,Issue Review,MHBC PLANNING LTD,30 DUKE STREET LIMITED,593486,20,22 WEBER ST W,Official Plan Amendment,Combined,1060949,"Craig Dumart, MCIP, RPP","The applicant is now proposing to amend the designation to High Density Commercial Residential with a Special Policy Area in order to permit the redevelopment of the site with a 19 storey multiple residential building containing 162 units, including 25 Barrier Free units and a floor space ratio (FSR) of 7.8. 

The subject lands are located adjacent to the downtown, are located in a Major Transit Station Area and are currently designated High Density Commercial Residential in the Civic Centre Neighbourhood Secondary Plan. The High Density Commercial Residential designation permits a range of uses including free standing multiple residential buildings at a maximum Floor Space Ratio of 4.0. Lands within this designation aim to recognize the proximity of the Civic Centre Neighbourhood to the higher intensity of uses of the Downtown and the location of the properties along primary roads, such as Weber Street. 
",ZBA2020/013/W/JVW,2020/07/29 00:00:00+00,"The Tribunal has placed this case into a closed file status. No action and no updates are expected. The parties are directed to contact the Tribunal once they are ready to proceed to request the re-opening of this file from its closed status. Tribunal administrative staff will re-open the file after they are advised that the parties are ready to proceed. 
",,,03/03/2022,,,,,,,No,High Density Commercial Residential in the Civic Centre Neighbourhood Secondary Plan.  ,High Density Commercial Residential in the Civic Centre Neighbourhood Secondary Plan with a Special policy to permit an FSR of 6.2.,,,Surface parking facility,Multiple residential,,,,,,0.14,Craig.Dumart@kitchener.ca,519-741-2426,1-866-969-9994,Issue Review,Issue Review,Status is Step 3:Staff consolidating feedback and preparing recommendation,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep3.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_593486.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_593486.pdf,2bddf8a0-935b-46d4-b94b-5c7b909de74f
542982.8505,4803240.1664,47,55092297,40266941,5,55,7926,  ROCKCLIFFE DR,30T-16201,In Circulation,MHBC PLANNING,FREURE DEVELOPMENTS LIMITED,451212,16,ROCKCLIFFE DR,Subdivision Approval,Residential,40266941,"Katie Anderl, MCIP, RPP","The plan of subdivision includes single detached, street townhouses & multiple dwellings along with parkland open space & stormwater management facilities.",,2016/10/17 00:00:00+00,This application has been circulated and staff are working to address comments identified during the review.,,,,,,,,,,No,,,,,,,,,0,0,0.715,27.549,Katie.Anderl@kitchener.ca,519-741-2426,1-866-969-9994,In Circulation,In Circulation,Status is Step 1:Notice of development sent and feedback requested,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep1.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_451212.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_451212.pdf,ce176a79-f9ee-4d05-9fb0-9751e93e97bd
542330.9849,4809070.2134,48,50036579,1006242,9,16,0,459  MILL ST,OPA22/008/M/CD,Adopted,POLOCORP INC.,POLOCORP INC,659167,22,459-509 MILL ST,Official Plan Amendment,Combined,1006242,"Craig Dumart, MCIP, RPP",The proposed Official Plan Amendment redesignates the Site from General Industrial Employment to Mixed Use with a Special Policy Area to permit an increase to the permitted Floor Space Ratio. The proposed amendment proposes a maximum FSR of 7.0 whereas the existing maximum FSR is 5.0.,,2022/07/18 00:00:00+00,Approved,,,04/24/2023,,,,,,,No,,,,,,,,,,,,,Craig.Dumart@kitchener.ca,519-741-2426,1-866-969-9994,Adopted,Adopted,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_659167.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_659167.pdf,516aa025-4504-4159-951f-f9d098a13bbc
545800.5717,4801821.9366,49,50041712,1010649,4,46,7751,1000  NEW DUNDEE RD,ZBA22/021/N/KA,Closed,GLEN SCHNARR & ASSOCIATES INC,CACHET DEVELOPMENTS (NEW DUNDEE) INC,662757,22,1000 NEW DUNDEE RD,Zoning By-Law Amendment,Combined,1010649,"Katie Anderl, MCIP, RPP","The applicant is proposing to develop the subject lands with a 127 unit Common Elements Condominium townhouse development which also includes private amenity space and a private SWM pond. The associated draft Plan of Subdivision (30T-22202) would create two blocks.  Block 1 is planned to be developed with the subject townhouses.  Block 2 contains Blair Creek, associated wetlands and a buffer and is proposed to be zoned Natural Heritage Conservation and dedicated to the City of Kitchener.",30T-22202,2022/08/29 00:00:00+00,This application is approved and the file is now closed.,06/19/2023,,12/01/2022,,06/26/2023,,,20241227,2023/12/27 00:00:00+00,No,Low Rise Residential and Natural Heritage Conservation,,FTR-1,,agricultural,residential and natural heritage ,,,,,,,Katie.Anderl@kitchener.ca,519-741-2426,1-866-969-9994,Closed,Closed,Status:This application has received final approval and is closed,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusApproved.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_662757.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_662757.pdf,f5f6893c-b7e4-41a3-b264-5c44564a773d
542866.928,4811863.4244,50,50061839,1046961,1,22,7748,507  FREDERICK ST,OP17/003/F/GS,Adopted,GSP GROUP INC.,HENRY WALSER FUNERAL HOME LTD,477048,17,Walser Funeral Home OPA,Official Plan Amendment,Combined,1023183,"Garett Stevenson, MCIP, RPP","The property municipally addressed as 507 Frederick Street is designated as Commercial and the four Becker Street properties (triangle shaped property and 40 and 44 Becker Street) are designated as Low Rise Residential in the City’s Official Plan. A portion of lands form part of a Community Node in the City’s Urban Structure.   

The application proposes to amend the land use designation of 40 and 44 Becker Street, as well as the triangle-shaped portion of land), from Low Rise Residential to Commercial. Further, the application proposes to add Specific Policy Area 58 in the Official Plan to permit a crematorium/cremator use on all lands.",Yes ZC17/010/F/GS,2017/07/19 00:00:00+00,This application has been adopted.,01/09/2023,,11/23/2021,,03/20/2023,,,,,No,The property municipally addressed as 507 Frederick Street is designated as Mixed Use and the three Becker Street properties are designated as Low Rise Residential in the City's Official Plan.,Commercial,,,Residential and parking and funeral home,Expanded funeral home with a crematorium and related parking.,,,,,,,Garett.Stevenson@kitchener.ca,519-741-2426,1-866-969-9994,Adopted,Adopted,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_477048.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_477048.pdf,3752c8bc-5f1e-40d2-87ac-9836dbca9f44
540680.0736,4811101.1225,51,50007147,1043079,9,1,7905,30  FRANCIS ST S,OPA21/001/F/DE,Refused,GSP GROUP INC,30 FRANCIS KITCHENER INCORPORATED,617248,21,30 FRANCIS ST S,Official Plan Amendment,Combined,1043079,"Craig Dumart, MCIP, RPP","The Official Plan Amendment will permit an increase in density (allowable floor space ratio) in the Innovation Downtown District, to permit the proposed 44 storey tower.",Yes ZBA/21/002/F/DE,2021/03/22 00:00:00+00,"This application has been refused by Kitchener City Council on March 21, 2022. If you have any questions or require further clarification regarding appeals, please see https://olt.gov.on.ca/ or connect with the listed City Planning Contact. If you wish to be notified of the decision of the City of Kitchener with respect to these applications, you must make a written request to City Clerk, Legislative Services, 200 King Street West, P.O. Box 1118, Kitchener, Ontario, N2G 4G7.",03/07/2022,,12/14/2021,,03/21/2022,,,,,No,Urban Growth Centre (Innovation District),Urban Growth Centre (Innovation District),,,"Vacant, surface parking",Residential + commercial,,,,,,0.23,Craig.Dumart@kitchener.ca,519-741-2426,1-866-969-9994,Refused,Refused,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_617248.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_617248.pdf,25072177-3c2e-4350-89ad-3c8cd994d54c
538691.8904,4804672.7283,52,50060554,1023045,5,54,7754,1801  BLEAMS RD,OP18/005/B/GS,Adopted,SGL PLANNING & DESIGN INC,B & B KIESWETTER EXCAVATING INC,517833,18,Mattamy North Plan OPA,Official Plan Amendment,Combined,1072786,"Garett Stevenson, MCIP, RPP",Proposing amendment to the Rosenberg Secondary Plan to revise land use designations for various lands to implement the proposed plan of subdivision.,30T-18201 & ZBA18/006/B/GS,2018/08/10 00:00:00+00,This Official Plan Amendment has been adopted by Kitchener City Council.,08/08/2022,,,,08/22/2022,,,,,No,"Low Density Residential One & Two, Medium Density Residential One, Neighbourhood Institutional, Mixed Use One, Neighbourhood Park, Open Space, Natural Heritage Conservation ","The proposed changes to the Land Use Plan (Map 22e) include:
-	Reorienting the mixed use blocks, school block, and neighbourhood park block in a different configuration at the intersection of Rosenberg Way and Bandon Drive, including adding second school block. Medium density, mixed use, and two school blocks are now shown around the future intersection. 
-	The institutional block at George Israel Street and Rosenberg Way has been eliminated with the addition of the second school block at Rosenberg Way and Bandon Drive.
-	The storm water management open space block north of Rosenberg Way has been eliminated and the other two storm water management open space blocks have been increased in size.
-	One medium density block south of Bleams Road has been eliminated, and two have been modified.  A new location has been identified at Rosenberg Way and Trussler Road. 
-	Rosenberg Way alignment has been changed slightly, resulting in the reconfiguration of many blocks.
",,,"agricultural, gravel pit",mixed use residential community with schools and parks and trails. ,,,,,,96.35,Garett.Stevenson@kitchener.ca,519-741-2426,1-866-969-9994,Adopted,Adopted,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_517833.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_517833.pdf,fefc0165-8982-4878-bcfa-4637da957a28
539595.1129,4811726.8963,53,50002018,1003109,10,9,7905,864  KING ST W,ZBA24/022/K/ES,Recommendation,MHBC PLANNING,KING PINE KITCHENER INC,723432,24,864-876 KING ST W,Zoning By-Law Amendment,Standard,1046648,"Eric Schneider, MCIP, RPP","The proposed redevelopment of the subject lands consists of a 44-storey residential development with a 6 storey podium, containing 455 rental residential units. Amenity areas are provided within the proposed development in the form of indoor rooms, and outdoor ground level and podium/rooftop private amenity areas. A total of 5,389 sq.m of indoor and outdoor amenity area is proposed. A total of 261 parking spaces are proposed within the 6 podium levels as structured parking as well as two levels of underground parking. Vehicular access to the parking areas is proposed from Pine Street. The proposal represents phase one of a planned multi phased development for the entirety of the subject lands. The Zoning By-law Amendment seeks site specific development standards in both Zoning By-law 85-1 and Zoning By-law 2019-051, both which are in effect. The site specific development standards include floor space ratio, building height, physical separation, and yard setbacks. ",No,2024/08/08 00:00:00+00,"This application is scheduled on the Kitchener City Council agenda on November 18, 2024. If you have any questions on this application, please reach out to the File Planner (City Planning Contact listed below).  If you would like to speak to this item, please register at www.kitchener.ca/delegation. If a person or public body does not make oral submissions at a public meeting or make written submissions to the City prior to the approval of a development, a Tribunal may dismiss an appeal made in relation to the applications. If you have any questions or require further clarification regarding appeals, please see https://olt.gov.on.ca/ or connect with the listed City Planning Contact.",10/28/2024,,09/18/2024,,11/18/2024,,,,,Yes,SGA-C,,MU-3/ SGA-4 (19H),,Office/Studio,Multiple Residential,,,,,,,Eric.Schneider@kitchener.ca,519-741-2426,1-866-969-9994,Recommendation,Recommendation,Status is Step 3:Staff consolidating feedback and preparing recommendation,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep3.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_723432.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_723432.pdf,e2625e3c-e126-4b14-af27-a86cf0ad91f2
541297.709,4809983.9719,54,50023713,1003730,9,5,7750,115  WHITNEY PL,ZBA24/006/W/ES,Closed,"DRYDEN, SMITH & HEAD PLANNING CONSULTANTS",SEAMONT HOLDINGS INC,707151,24,115 WHITNEY PL Unit FRT,Zoning By-Law Amendment,Standard,1060362,"Eric Schneider, MCIP, RPP","To permit Automotive Detailing and Repair Operation in the E-1/EUF zoned portion of the property. 
",No,2024/02/21 00:00:00+00,,05/13/2024,,,,05/27/2024,,,20250703,2024/07/03 00:00:00+00,No,General Industrial and Open Space in Mill Courtland Woodside Park Secondary Plan,,M-2,,Warehouse,Automotive Detail and Repair,,,,,,,Eric.Schneider@kitchener.ca,519-741-2426,1-866-969-9994,Closed,Closed,Status:This application has received final approval and is closed,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusApproved.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_Image_Coming_Soon.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_No_Documents.pdf,21e198bb-bc73-4b29-8561-334bbc5b741d
545536.0545,4806192.7808,55,50040700,1052327,3,37,7751,1082  WILSON AVE,OPA24/006/W/TS,Adopted,GSP GROUP INC.,COLT CANADA CORPORATION,714346,24,1082 WILSON AVE,Official Plan Amendment,Combined,1067077,"Tim Seyler, MCIP, RPP","Cross-reference: ZBA24/011/W/TS
The owner is requesting an Official Plan Amendment to redesignate a portion of the properties from Low Rise Residential to Business Park Employment and a Zoning By-law amendment to change the zoning from RES-1 to EMP-2 to permit the expansion of a manufacturing facility and associated parking. ",Yes,2024/05/09 00:00:00+00,"This application has been adopted by Kitchener City Council agenda on August 26, 2024. If you have any questions or require further clarification regarding appeals, please see https://olt.gov.on.ca/ or connect with the listed City Planning Contact. If you wish to be notified of the decision of the City of Kitchener with respect to these applications, you must make a written request to City Clerk, Legislative Services, 200 King Street West, P.O. Box 1118, Kitchener, Ontario, N2G 4G7.",08/12/2024,,07/10/2024,,08/26/2024,,,,,No,Low Rise Residential,General Industrial Employment,,,Single Detached Dwellings,Parking Lot,,,,,,,Tim.Seyler@kitchener.ca,519-741-2426,1-866-969-9994,Adopted,Adopted,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_714346.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_714346.pdf,6bcdbedc-6068-461e-91e1-0407917d0565
540245.1025,4810678.6758,56,50006577,1017878,9,7,7905,169  VICTORIA ST S,ZBA24/021/V/AP,Recommendation,GSP GROUP INC.,1000002286 ONTARIO LTD,718856,24,169-183 VICTORIA ST S,Zoning By-Law Amendment,Standard,1072644,"Andrew Pinnell, MCIP, RPP","The City of Kitchener has received a privately-initiated Zoning By-law Amendment Application (ZBA) to facilitate redevelopment of the lands with an 8-storey multiple dwelling consisting of 120 dwelling units, including 24 affordable units. The ZBA would change the zoning under By-law 85-1 from MU-1 Zone to MU-2 Zone and add a site specific provision (SSP) to regulate certain setbacks, allow a building height of 28.8m, allow a floor space ratio of 4.2 and a reduced parking ratio, allow units on the ground floor. The lands are also subject to City-initiated amendments, including a ZBA (Growing Together Study). The ZBA , which would apply the SGA-2 Zone, is under appeal. If the appeal is resolved during the review of the subject ZBA, the SGA-2 Zone would be retained and the application modified to add a SSP to facilitate the same development concept.",No,2024/06/14 00:00:00+00,"This application is scheduled on the Kitchener City Council agenda on November 18, 2024. If you have any questions on this application, please reach out to the File Planner (City Planning Contact listed below).  If you would like to speak to this item, please register at www.kitchener.ca/delegation. If a person or public body does not make oral submissions at a public meeting or make written submissions to the City prior to the approval of a development, a Tribunal may dismiss an appeal made in relation to the applications. If you have any questions or require further clarification regarding appeals, please see https://olt.gov.on.ca/ or connect with the listed City Planning Contact.",10/28/2024,,09/25/2024,,11/18/2024,,,,,Yes,Strategic Growth Area A,,Low Intensity Mixed Use Corridor Zone (MU-1),,Low rise residential uses,"8-storey multiple dwelling, comprising 120 dwelling units",,,,,,,Andrew.Pinnell@kitchener.ca,519-741-2426,1-866-969-9994,Recommendation,Recommendation,Status is Step 3:Staff consolidating feedback and preparing recommendation,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep3.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_718856.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_718856.pdf,38ff0a6d-eb7c-4efe-ab89-a2e8c9862307
546228.8096,4808846.6291,57,50041854,1012720,2,35,7746,32  WINDOM RD,ZBA23/037/W/ES,Passed,UP CONSULTING LTD.,"JACKMAN PROPERTY HOLDING INC, WINDOM KW INC",698857,23,32-42 WINDOM RD,Zoning By-Law Amendment,Combined,1012720,"Eric Schneider, MCIP, RPP","32 Windom  - The applicant is proposing to change the zoning from RES-4 to RES-5 to allow the use of multiple dwellings, and to add a site-specific provision for: 

•	An increase in maximum Floor Space Ratio (FSR) from 0.6 to 1.4
•	An increase in maximum building height from 11m to 15.1 m
•	A reduction in the minimum side yard from 3.0 m to 2.5 m
•	A reduction in the required parking from 1.15 spaces per unit (67 space) to 0.81 spaces per unit (47 spaces).

42 Windom Road - The applicant is proposing to cadd a site-specific provision for: 

•	An increase in maximum Floor Space Ratio (FSR) from 0.6 to 1.4
•	An increase in maximum building height from 11m to 15.1 m
•	A reduction in the minimum side yard from 3.0 m to 2.5 m
•	A reduction in the required parking from 1.15 spaces per unit (67 space) to 0.81 spaces per unit (47 spaces).
",Yes,2023/11/20 00:00:00+00,"This application has been approved by Kitchener City Council agenda on February 26, 2024. If you have any questions or require further clarification regarding appeals, please see https://olt.gov.on.ca/ or connect with the listed City Planning Contact. If you wish to be notified of the decision of the City of Kitchener with respect to these applications, you must make a written request to City Clerk, Legislative Services, 200 King Street West, P.O. Box 1118, Kitchener, Ontario, N2G 4G7.",02/26/2024,,12/12/2023,,02/26/2024,,,,,No,Low Rise Residential ,,RES-4/RES-5,,Multiple Dwelling,Multiple Dwelling,,,,,,,Eric.Schneider@kitchener.ca,519-741-2426,1-866-969-9994,Passed,Passed,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_698857.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_698857.pdf,b9039245-5468-48a1-bd84-291bf79ccd48
